rpm,rps,reynolds_number,schmidt_number,sherwood_number,mass_transfer_coefficient_m_s,dissolution_time_s,calculated_mass_rate_kg_s,impeller_power_w,motor_power_w,energy_j
10.0,0.16666666666666666,231762.4649859945,535.5535553555357,3127.6093772760505,0.013761481260014622,0.4675847729855685,108865.82057617839,8.033179572148153,24.09953871644446,11.268577339785601
11.0,0.18333333333333332,254938.71148459392,535.5535553555357,3280.2643885070593,0.01443316330943106,0.4458245883426326,114179.43588360005,10.692162010529193,32.07648603158758,14.300486180510736
12.0,0.2,278114.95798319345,535.5535553555357,3426.124413997557,0.015074947421589248,0.4268445461835468,119256.53134176595,13.881334300672016,41.64400290201605,17.775515519977347
13.0,0.21666666666666667,301291.20448179287,535.5535553555357,3566.0233512797713,0.01569050274563099,0.41009897485284963,124126.13325421068,17.6488955200095,52.946686560028496,21.71338188012284
14.0,0.23333333333333334,324467.45098039234,535.5535553555357,3700.637321267125,0.01628280421357535,0.39518126033502066,128811.77603625588,22.04304474597454,66.12913423792362,26.132994613006424
15.0,0.25,347643.69747899176,535.5535553555357,3830.5235445350845,0.01685430359595437,0.38178136843658356,133332.85542051145,27.111981056000026,81.33594316800009,31.05254768575926
16.0,0.26666666666666666,370819.9439775912,535.5535553555357,3956.1477053972767,0.017407049903748015,0.3696582204617916,137705.58094557922,32.90390352751885,98.71171058255655,36.489595272687254
17.0,0.2833333333333333,393996.19047619065,535.5535553555357,4077.9037149744768,0.017942776345887698,0.3586211501980768,141943.66386891645,39.46701123796389,118.40103371389166,42.46111489511709
18.0,0.3,417172.43697479006,535.5535553555357,4196.128304793021,0.018462964541089293,0.34851711254651274,146058.82514077815,46.84950326476804,140.54850979430412,48.98356080622614
19.0,0.31666666666666665,440348.68347338954,535.5535553555357,4311.112013386762,0.01896889285890175,0.33922164771411134,150061.17782583498,55.099578685364186,165.29873605609257,56.072909610007706
20.0,0.3333333333333333,463524.929971989,535.5535553555357,4423.10759914906,0.019461673436255864,0.3306323637576679,153959.51993770743,64.26543657718523,192.79630973155568,63.744699610299726
21.0,0.35,486701.17647058837,535.5535553555357,4532.336580102218,0.019942280952449758,0.3226641479102541,157761.5620752463,74.39527601766405,223.18582805299212,72.01406503436318
22.0,0.36666666666666664,509877.42296918784,535.5535553555357,4638.994386396171,0.02041157530014315,0.3152455896367765,161474.10677069644,85.53729608423355,256.6118882527006,80.89576602002921
23.0,0.38333333333333336,533053.6694677874,535.5535553555357,4743.254469106385,0.02087031966406809,0.30831626896388575,165103.19150872502,97.73969585432663,293.2190875629799,90.40421506641287
24.0,0.4,556229.9159663869,535.5535553555357,4845.271612652918,0.021319195095672837,0.3018246731188804,168654.20402509748,111.05067440537613,333.1520232161284,100.5535005061016
25.0,0.4166666666666667,579406.1624649862,535.5535553555357,4945.184631746595,0.02175881237968502,0.2957265763694332,172131.97618197405,125.51843081481496,376.5552924444449,111.3574074483864
26.0,0.43333333333333335,602582.4089635857,535.5535553555357,5043.118587119008,0.022189721783323634,0.2899837660761014,175540.8610930348,141.191164160076,423.57349248022797,122.82943655942371
27.0,0.45,625758.6554621852,535.5535553555357,5139.186620996335,0.022612421132383872,0.28456303078903117,178884.79701264892,158.11707351859218,474.35122055577654,134.98282097982795
28.0,0.4666666666666667,648934.9019607847,535.5535553555357,5233.491489160008,0.02302736255230403,0.2794353489807396,182167.36066383866,176.34435796779633,529.033073903389,147.83054162854688
29.0,0.48333333333333334,672111.148459384,535.5535553555357,5326.126848732833,0.023434958134424463,0.27457523303431836,185391.8120635362,195.92121658512136,587.7636497553641,161.38534110068056
30.0,0.5,695287.3949579835,535.5535553555357,5417.178347670977,0.023835584729752297,0.269960194552188,188561.1324456183,216.8958484480002,650.6875453440007,175.65973633375208
31.0,0.5166666666666667,718463.641456583,535.5535553555357,5506.72455205068,0.02422958802902299,0.2655703053308809,191678.0565379002,239.3164526338658,717.9493579015974,190.6660301900371
32.0,0.5333333333333333,741639.8879551823,535.5535553555357,5594.837739724028,0.024617286054785723,0.26138783440988456,194745.10018770423,263.2312282201508,789.6936846604524,206.41632208055793
33.0,0.55,764816.1344537819,535.5535553555357,5681.584583153081,0.024998972165873556,0.257396946090973,197764.5841299483,288.68837428428833,866.065122852865,222.92251773823082
34.0,0.5666666666666667,787992.3809523813,535.5535553555357,5767.026739768534,0.02537491765498155,0.25358344718197945,200738.65453634952,315.7360899037111,947.2082697111333,240.1963382326273
35.0,0.5833333333333334,811168.6274509808,535.5535553555357,5851.221364714191,0.025745374004742437,0.2499345742549241,203669.30086303223,344.4225741558522,1033.2677224675567,258.24932830628387
36.0,0.6,834344.8739495801,535.5535553555357,5934.221558095914,0.02611057485562202,0.24643881364119438,206558.37141836883,374.7960261181443,1124.388078354433,277.09286410196876
37.0,0.6166666666666667,857521.1204481797,535.5535553555357,6016.076756678958,0.026470737729387413,0.24308574837207617,209407.58699717943,406.9046448680206,1220.713934604062,296.73816034145005
38.0,0.6333333333333333,880697.3669467791,535.5535553555357,6096.8330782411385,0.026826065544261007,0.23986592742392224,212218.55286697656,440.7966294829135,1322.3898884487405,317.1962770087742
39.0,0.65,903873.6134453786,535.5535553555357,6176.533625393602,0.027176747951731844,0.23677075352568228,214992.7693433577,476.5201790402565,1429.5605371207694,338.47812558466364
40.0,0.6666666666666666,927049.859943978,535.5535553555357,6255.218754552101,0.027522962520029243,0.23379238649278425,217731.64115235678,514.1234926174818,1542.3704778524454,360.59447487313923
41.0,0.6833333333333333,950226.1064425776,535.5535553555357,6332.926314823412,0.027864875785223012,0.2309236596102627,220436.48574560237,553.654769292023,1660.9643078760691,383.55595645676897
42.0,0.7,973402.3529411767,535.5535553555357,6409.691860820249,0.02820264418760909,0.22815800703311986,223108.54070797825,595.1622081413124,1785.486624423937,407.37306981285803
43.0,0.7166666666666667,996578.5994397764,535.5535553555357,6485.548842800265,0.028536414908321164,0.22548940052847202,225748.97037598217,638.6940082427834,1916.0820247283502,432.0561871193766
44.0,0.7333333333333333,1019754.8459383757,535.5535553555357,6560.5287770141185,0.02886632661886212,0.2229122941713163,228358.8717672001,684.2983686738684,2052.895106021605,457.61555777634356
45.0,0.75,1042931.0924369752,535.5535553555357,6634.661398723591,0.0291925101543838,0.22042157583844524,230939.2799065612,732.0234885120007,2196.070465536002,484.06131266571356
46.0,0.7666666666666667,1066107.3389355747,535.5535553555357,6707.974799997044,0.02951508911998699,0.2180125245344991,233491.17262272138,781.917566834613,2345.752700503839,511.40346817046077
47.0,0.7833333333333333,1089283.5854341742,535.5535553555357,6780.495554093217,0.02983418043801015,0.21568077273914427,236015.4748776146,834.028802719138,2502.0864081574136,539.6519299715009
